日付,新規陽性患者数,うち感染経路判明,うち感染経路不明,退院・回復者数,死亡者数（発表日時点）,検査実施人数（他機関分含む）
2020/8/10,55,20,35,10,0,405
2020/8/9,47,20,27,3,0,361
2020/8/8,108,30,78,31,0,312
2020/8/7,96,43,53,76,0,419
2020/8/6,72,27,45,45,0,408
2020/8/5,67,24,43,82,0,318
2020/8/4,47,14,33,93,0,141
2020/8/3,82,22,60,26,0,338
2020/8/2,103,31,72,3,0,296
2020/8/1,109,38,71,1,0,287
2020/7/31,102,46,56,13,0,373
2020/7/30,108,56,52,7,0,281
2020/7/29,93,32,61,16,0,202
2020/7/28,65,24,41,3,0,125
2020/7/27,36,19,17,10,0,125
2020/7/26,48,17,31,0,0,153
2020/7/25,35,11,24,5,0,137
2020/7/24,38,16,22,0,0,71
2020/7/23,62,12,50,0,0,208
2020/7/22,44,16,28,0,1,157
2020/7/21,22,11,11,2,0,111
2020/7/20,13,9,4,2,0,38
2020/7/19,16,10,6,1,0,83
2020/7/18,15,8,7,0,0,128
2020/7/17,12,7,5,2,0,121
2020/7/16,12,9,3,1,0,67
2020/7/15,10,4,6,0,0,50
2020/7/14,2,0,2,1,0,15
2020/7/13,2,0,2,0,0,7
2020/7/12,0,0,0,0,0,25
2020/7/11,2,0,2,0,0,26
2020/7/10,0,0,0,0,0,48
2020/7/9,0,0,0,0,0,39
2020/7/8,1,1,0,1,0,36
2020/7/7,0,0,0,0,0,18
2020/7/6,2,2,0,1,0,12
2020/7/5,0,0,0,0,0,9
2020/7/4,0,0,0,2,0,20
2020/7/3,0,0,0,0,0,31
2020/7/2,0,0,0,0,0,35
2020/7/1,0,0,0,0,0,23
2020/6/30,0,0,0,0,0,15
2020/6/29,1,0,1,1,0,7
2020/6/28,0,0,0,0,0,17
2020/6/27,0,0,0,0,0,21
2020/6/26,0,0,0,1,0,22
2020/6/25,0,0,0,0,0,30
2020/6/24,0,0,0,0,0,23
2020/6/23,0,0,0,3,0,16
2020/6/22,0,0,0,0,0,59
2020/6/21,0,0,0,0,0,12
2020/6/20,0,0,0,0,0,24
2020/6/19,1,1,0,0,0,36
2020/6/18,0,0,0,0,0,38
2020/6/17,3,2,1,0,0,39
2020/6/16,1,1,0,2,0,23
2020/6/15,1,1,0,0,0,15
2020/6/14,0,0,0,0,0,16
2020/6/13,1,1,0,0,0,36
2020/6/12,1,0,1,1,0,44
2020/6/11,0,0,0,0,0,34
2020/6/10,2,1,1,0,0,45
2020/6/9,0,0,0,0,0,11
2020/6/8,0,0,0,1,0,1
2020/6/7,1,1,0,0,0,31
2020/6/6,0,0,0,0,0,21
2020/6/5,0,0,0,1,0,35
2020/6/4,0,0,0,0,0,27
2020/6/3,0,0,0,0,0,38
2020/6/2,0,0,0,0,0,15
2020/6/1,0,0,0,0,0,0
2020/5/31,0,0,0,0,0,11
2020/5/30,0,0,0,0,0,30
2020/5/29,0,0,0,1,0,23
2020/5/28,0,0,0,0,0,34
2020/5/27,0,0,0,0,0,34
2020/5/26,0,0,0,1,0,7
2020/5/25,0,0,0,0,0,4
2020/5/24,0,0,0,0,0,16
2020/5/23,0,0,0,0,0,21
2020/5/22,0,0,0,1,0,12
2020/5/21,0,0,0,3,0,24
2020/5/20,0,0,0,2,0,28
